time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-06T14:12:13.150Z,19.0953,-64.77,39,3.23,md,8,332,1.2682,0.37,pr,pr2021037024,2021-02-06T15:30:20.429Z,"84 km N of Cruz Bay, U.S. Virgin Islands",earthquake,5.17,24.11,0.01,3,reviewed,pr,pr
2021-02-06T13:48:54.570Z,60.6452,-150.3765,27.7,2.5,ml,,,,0.7,ak,ak0211pewvql,2021-02-06T15:57:12.040Z,"24 km ENE of Sterling, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-02-06T12:46:00.710Z,18.9888,-65.0338,36,3.06,md,9,326,1.0315,0.49,pr,pr2021037020,2021-02-06T13:17:28.438Z,"72 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.4,29.62,0.09,2,reviewed,pr,pr
2021-02-06T12:40:17.180Z,19.2471,-64.7765,24,3.94,md,20,321,1.3872,0.37,pr,pr2021037019,2021-02-06T13:45:15.343Z,"101 km N of Cruz Bay, U.S. Virgin Islands",earthquake,1.93,30.69,0.11,18,reviewed,pr,pr
2021-02-06T12:12:19.630Z,19.2243,-64.794,29,3.55,md,12,327,1.3585,0.39,pr,pr2021037016,2021-02-06T13:43:04.040Z,"98 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.68,30.2,0.06,9,reviewed,pr,pr
2021-02-06T11:52:07.000Z,18.902,-65.3736,38,2.96,md,9,311,0.8244,0.45,pr,pr2021037015,2021-02-06T13:17:37.484Z,"66 km N of Culebra, Puerto Rico",earthquake,5.58,20.1,0.11,4,reviewed,pr,pr
2021-02-06T10:38:52.270Z,18.915,-65.0721,43,3.41,md,5,333,1.0957,0.59,pr,pr2021037014,2021-02-06T11:49:46.522Z,"65 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,8.42,32.93,0,1,reviewed,pr,pr
2021-02-06T10:25:23.820Z,19.0146,-64.7111,81,3.71,md,11,330,1.2448,0.51,pr,pr2021037011,2021-02-06T12:15:41.040Z,"76 km N of Cruz Bay, U.S. Virgin Islands",earthquake,8.88,13.08,0.12,10,reviewed,pr,pr
2021-02-06T10:21:12.989Z,7.5349,126.6515,75,4.6,mb,,81,1.159,0.71,us,us6000df4a,2021-02-06T23:44:52.317Z,"10 km ESE of Baganga, Philippines",earthquake,10,7.6,0.086,40,reviewed,us,us
2021-02-06T10:01:28.414Z,36.2956543,-97.51874542,0.7949560881,3.65,ml,100,27.20305061,0.2085239291,0.6597699818,ok,ok2021cony,2021-02-07T00:39:11.952Z,"6 km WNW of Lucien, Oklahoma",earthquake,1.253780668,1.050747308,,76,automatic,ok,ok
2021-02-06T10:01:06.120Z,19.0758,-64.7995,31,3.46,md,11,328,1.2347,0.4,pr,pr2021037010,2021-02-06T12:22:25.040Z,"82 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.61,29.34,0.08,4,reviewed,pr,pr
2021-02-06T09:48:48.520Z,19.2983341217041,-155.979827880859,42.7900009155273,2.51,ml,42,238,,0.119999997,hv,hv72342632,2021-02-06T09:55:29.040Z,"21 km SW of Honaunau-Napoopoo, Hawaii",earthquake,0.56,0.800000012,4.27,11,automatic,hv,hv
2021-02-06T09:38:21.120Z,19.1446,-64.6738,43,3.74,md,11,330,1.3671,0.35,pr,pr2021037009,2021-02-06T12:07:14.040Z,"90 km N of Cruz Bay, U.S. Virgin Islands",earthquake,4.49,20.09,0.08,11,reviewed,pr,pr
2021-02-06T08:50:34.790Z,19.1478,-64.7251,38,3.38,md,3,350,1.3373,0.38,pr,pr2021037008,2021-02-06T09:51:06.282Z,"90 km N of Cruz Bay, U.S. Virgin Islands",earthquake,10.4,31.15,0.07,2,reviewed,pr,pr
2021-02-06T08:31:26.960Z,19.1131,-64.8005,80,3.49,md,8,328,1.2639,0.36,pr,pr2021037007,2021-02-06T09:50:47.850Z,"86 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,7.48,13.51,0.12,5,reviewed,pr,pr
2021-02-06T08:21:14.080Z,18.9108,-64.7951,89,3.55,md,8,328,1.1115,0.39,pr,pr2021037006,2021-02-06T09:50:34.674Z,"64 km N of Cruz Bay, U.S. Virgin Islands",earthquake,7.55,10.06,0.09,8,reviewed,pr,pr
2021-02-06T08:03:52.988Z,18.9957,-64.88,35,2.8,ml,,216,1.251,0.29,us,us6000df39,2021-02-06T08:57:16.040Z,"72 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,8.3,2,0.061,35,reviewed,us,us
2021-02-06T07:52:55.568Z,19.0967,-64.7328,35,3,ml,,213,1.421,0.3,us,us6000df37,2021-02-06T11:49:15.656Z,"84 km N of Cruz Bay, U.S. Virgin Islands",earthquake,7.9,2,0.058,39,reviewed,us,us
2021-02-06T07:43:16.284Z,4.1354,-82.7696,10,4.6,mb,,147,4.629,0.85,us,us6000df36,2021-02-06T08:01:30.040Z,"south of Panama",earthquake,8.9,1.9,0.083,44,reviewed,us,us
2021-02-06T07:41:55.615Z,13.6665,-90.684,43.51,4.3,mb,,172,1.299,0.98,us,us6000df35,2021-02-07T00:40:20.547Z,"29 km S of Iztapa, Guatemala",earthquake,8.1,7.9,0.133,16,reviewed,us,us
2021-02-06T07:14:09.370Z,19.2061,-64.802,30,3.58,md,19,321,1.3389,0.29,pr,pr2021037004,2021-02-06T09:22:04.237Z,"96 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.79,21.21,0.08,18,reviewed,pr,pr
