time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-04T05:06:24.059Z,28.7477,87.3607,10,5.1,mb,,56,0.923,0.75,us,us6000decu,2021-02-06T06:13:17.612Z,"103 km NNE of Lobujya, Nepal",earthquake,5.6,1.8,0.05,129,reviewed,us,us
2021-02-04T04:03:04.190Z,36.4913333,-81.1313333,1.54,2.56,md,22,75,0.04419,0.34,se,se60323617,2021-02-06T18:05:10.181Z,"1 km SSW of Sparta, North Carolina",earthquake,0.53,1.61,0.093,15,reviewed,se,se
2021-02-04T03:40:13.655Z,36.8807,140.7757,54.94,4.3,mb,,142,2.093,0.66,us,us6000decf,2021-02-05T05:51:20.238Z,"10 km NNE of Kitaibaraki, Japan",earthquake,9.3,8.3,0.09,35,reviewed,us,us
2021-02-04T03:04:18.670Z,17.885,-67.187,13,2.63,md,4,333,0.144,0.05,pr,pr2021035000,2021-02-04T03:51:37.989Z,"9 km S of Pole Ojea, Puerto Rico",earthquake,1.26,0.43,0.09,3,reviewed,pr,pr
2021-02-04T02:53:34.030Z,44.539,-115.216,5.92,2.53,ml,13,81,0.375,0.21,mb,mb80486174,2021-02-04T18:17:07.020Z,"42 km NNW of Stanley, Idaho",earthquake,0.52,1.39,0.154,14,reviewed,mb,mb
2021-02-04T02:36:35.834Z,44.5405,-115.2568,16.44,3,ml,,82,0.39,0.64,us,us6000dec3,2021-02-05T05:54:21.515Z,"43 km NW of Stanley, Idaho",earthquake,2,9.8,0.037,96,reviewed,us,us
2021-02-04T01:57:17.305Z,-16.6502,-69.7803,194.3,4.2,mb,,127,0.977,0.86,us,us6000debv,2021-02-05T05:42:22.040Z,"12 km NW of Mazo Cruz, Peru",earthquake,9.9,3.6,0.176,9,reviewed,us,us
2021-02-04T01:15:03.319Z,36.128,-97.59366667,6.63,2.49,ml,97,22,0,0.18,ok,ok2021ckfp,2021-02-05T05:36:31.040Z,"4 km SE of Marshall, Oklahoma",earthquake,,0.3,0.22,41,reviewed,ok,ok
2021-02-04T01:09:54.521Z,56.2411,-155.7614,77.8,2.5,ml,,,,0.23,ak,ak0211lwgmjg,2021-02-05T05:10:24.040Z,"125 km SW of Akhiok, Alaska",earthquake,,2.3,,,automatic,ak,ak
2021-02-04T00:54:00.511Z,-21.13,-67.9673,168.27,4.4,mb,,100,1.359,0.8,us,us6000deaz,2021-02-04T01:15:46.040Z,"140 km WSW of Uyuni, Bolivia",earthquake,7.4,8,0.13,17,reviewed,us,us
2021-02-03T23:34:06.740Z,44.4713333,-115.2085,9.75,2.49,ml,11,82,0.314,0.25,mb,mb80486139,2021-02-04T23:28:20.480Z,"35 km NW of Stanley, Idaho",earthquake,0.73,1.13,0.272,11,reviewed,mb,mb
2021-02-03T22:16:37.387Z,56.4152,-157.0192,0,2.9,ml,,,,0.68,ak,ak0211klgug3,2021-02-03T22:51:27.040Z,"86 km E of Chignik, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-03T21:04:45.080Z,19.2096666666667,-155.414333333333,35.98,3.07,md,57,146,,0.11,hv,hv72340042,2021-02-04T21:06:12.771Z,"6 km E of Pāhala, Hawaii",earthquake,0.45,0.53,0.125788815738265,26,reviewed,hv,hv
2021-02-03T20:27:17.039Z,35.11366667,-95.38083333,7.28,2.88,ml,44,94,0,0.19,ok,ok2021cjwc,2021-02-04T20:29:32.234Z,"1 km SW of Quinton, Oklahoma",earthquake,,0.5,0.15,11,reviewed,ok,ok
2021-02-03T19:55:00.947Z,39.4116,20.1334,10.23,4.4,mb,,38,0.397,1.11,us,us6000de99,2021-02-04T03:33:00.587Z,"5 km ESE of Lefkímmi, Greece",earthquake,5,6.2,0.155,12,reviewed,us,us
2021-02-03T19:37:02.478Z,31.7263,-104.5865,3.37,2.8,ml,,68,0.066,0.26,us,us6000de97,2021-02-03T20:55:36.040Z,"53 km SSW of Whites City, New Mexico",earthquake,0.9,2.6,0.046,62,reviewed,us,us
2021-02-03T19:06:36.837Z,62.1023,-149.538,56.4,3.6,ml,,,,0.5,ak,ak0211kjmeea,2021-02-04T03:13:16.041Z,"17 km ESE of Susitna North, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2021-02-03T18:33:40.746Z,2.4691,95.958,10,4.5,mb,,178,1.988,0.67,us,us6000de90,2021-02-03T20:50:51.040Z,"46 km W of Sinabang, Indonesia",earthquake,7.8,1.9,0.093,34,reviewed,us,us
2021-02-03T17:57:08.943Z,-39.0843,178.7346,10,4.6,mb,,185,1.447,0.56,us,us6000de86,2021-02-03T21:07:20.775Z,"79 km SE of Gisborne, New Zealand",earthquake,7.6,2,0.182,9,reviewed,us,us
2021-02-03T17:12:13.170Z,19.1815,-67.2318,4,3.11,md,12,287,0.7241,0.16,pr,pr2021034013,2021-02-03T18:05:14.370Z,"77 km N of San Antonio, Puerto Rico",earthquake,3.01,2.81,0.09,5,reviewed,pr,pr
2021-02-03T16:49:12.750Z,-6.1706,147.4362,49.41,5.1,mww,,27,4.1,0.94,us,us6000de7u,2021-02-03T22:10:45.441Z,"62 km NW of Finschhafen, Papua New Guinea",earthquake,8,4.9,0.053,34,reviewed,us,us
2021-02-03T16:35:52.662Z,-61.7804,-55.2269,10,5,mb,,72,1.684,0.9,us,us6000de92,2021-02-03T22:02:06.040Z,"South Shetland Islands",earthquake,8.1,1.8,0.105,30,reviewed,us,us
2021-02-03T16:03:23.790Z,19.0905,-68.8785,8,4.18,md,25,182,0.7613,1.03,pr,pr2021034012,2021-02-03T21:50:55.040Z,"21 km ENE of Miches, Dominican Republic",earthquake,2.25,31.61,0.1,14,reviewed,pr,pr
2021-02-03T14:40:34.363Z,56.6669,-155.3119,59.8,2.5,ml,,,,0.51,ak,ak0211kguijv,2021-02-03T14:45:50.363Z,"76 km WSW of Akhiok, Alaska",earthquake,,1.6,,,automatic,ak,ak
2021-02-03T13:00:19.265Z,-15.1931,-72.0454,129,4.1,mb,,214,3.426,0.65,us,us6000de66,2021-02-05T12:35:25.040Z,"32 km ENE of Orcopampa, Peru",earthquake,12,13.6,0.185,8,reviewed,us,us
2021-02-03T12:55:12.210Z,44.2666667,-115.0646667,7.83,2.56,ml,13,77,0.089,0.26,mb,mb80486094,2021-02-04T20:27:17.040Z,"11 km WNW of Stanley, Idaho",earthquake,0.56,0.86,0.12,15,reviewed,mb,mb
2021-02-03T12:51:02.209Z,38.1425,-118.1001,11.86,2.6,ml,,52,0.217,0.45,us,us6000de64,2021-02-03T13:02:50.040Z,"27 km S of Mina, Nevada",earthquake,1.6,1.4,0.043,70,reviewed,us,us
2021-02-03T11:41:55.568Z,-3.1779,-77.5966,35.23,4.9,mb,,118,1.803,0.74,us,us6000de5q,2021-02-03T12:00:13.040Z,"Peru-Ecuador border region",earthquake,3.8,7.7,0.036,237,reviewed,us,us
2021-02-03T11:40:03.060Z,19.3091,-67.2595,47,3.35,md,8,306,0.8546,0.31,pr,pr2021034010,2021-02-03T14:29:20.289Z,"92 km N of San Antonio, Puerto Rico",earthquake,2.33,9.97,0.05,4,reviewed,pr,pr
2021-02-03T11:11:15.883Z,-20.1515,-173.8087,10,5.1,mb,,73,6.503,1.19,us,us6000de5l,2021-02-03T11:32:52.040Z,"68 km ESE of Pangai, Tonga",earthquake,12.8,1.8,0.042,182,reviewed,us,us
2021-02-03T10:37:28.463Z,12.5064,-88.8051,60.43,4.7,mb,,158,1.752,0.54,us,us6000de5f,2021-02-03T10:58:49.040Z,"90 km SSW of Puerto El Triunfo, El Salvador",earthquake,8,8.1,0.036,240,reviewed,us,us
2021-02-03T10:20:20.432Z,55.044,165.6515,10,4.9,mb,,98,4.597,0.82,us,us6000de5d,2021-02-03T10:45:06.040Z,"239 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,6.2,1.9,0.034,273,reviewed,us,us
2021-02-03T09:55:07.140Z,10.4069,-12.9948,14.42,5,mb,,49,8.862,0.74,us,us6000de5b,2021-02-03T14:39:46.539Z,"39 km E of Tondon, Guinea",earthquake,8.5,3.8,0.052,116,reviewed,us,us
2021-02-03T09:52:59.048Z,15.2005,-92.6313,106.54,4.2,mb,,202,1.095,0.94,us,us6000de57,2021-02-03T10:32:15.040Z,"3 km N of Zacualpa, Mexico",earthquake,8.2,10.4,0.216,6,reviewed,us,us
2021-02-03T09:47:32.393Z,66.2991,-156.9795,0,2.8,ml,,,,1.02,ak,ak0211kdwun2,2021-02-03T11:08:49.040Z,"66 km S of Shungnak, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-02-03T09:42:45.980Z,32.7421667,-115.8221667,9.15,2.75,ml,56,84,0.1229,0.27,ci,ci39539495,2021-02-04T00:09:19.399Z,"16km E of Ocotillo, CA",earthquake,0.26,0.64,0.167,78,reviewed,ci,ci
2021-02-03T09:36:55.210Z,32.7431667,-115.8255,10.75,2.86,ml,57,83,0.1255,0.26,ci,ci39539487,2021-02-03T22:49:24.067Z,"16km E of Ocotillo, CA",earthquake,0.26,0.49,0.179,99,reviewed,ci,ci
2021-02-03T09:23:36.290Z,32.7516667,-115.8261667,11.24,3.74,mw,74,78,0.1284,0.29,ci,ci39539439,2021-02-04T15:25:26.875Z,"16km E of Ocotillo, CA",earthquake,0.25,0.49,,6,reviewed,ci,ci
2021-02-03T08:56:46.720Z,18.7213,-68.576,145,3.83,md,9,323,0.2844,0.08,pr,pr2021034006,2021-02-03T09:37:06.523Z,"12 km NE of Otra Banda, Dominican Republic",earthquake,8.97,0.88,0.09,5,reviewed,pr,pr
2021-02-03T08:42:25.839Z,23.1303,-107.9857,10,4.9,mb,,177,4.335,0.9,us,us6000de4r,2021-02-03T09:24:28.144Z,"137 km SW of Empaque Tarriba, Mexico",earthquake,9,1.9,0.029,373,reviewed,us,us
2021-02-03T08:25:38.490Z,-3.0087,118.9644,10,4.9,mb,,35,2.141,0.49,us,us6000de4n,2021-02-03T09:17:18.040Z,"37 km SSE of Mamuju, Indonesia",earthquake,4.9,1.9,0.082,46,reviewed,us,us
2021-02-03T07:25:01.610Z,18.5596,-68.6895,9,3.43,md,10,264,0.3115,0.15,pr,pr2021034005,2021-02-03T08:28:04.332Z,"6 km SSE of Salvaleón de Higüey, Dominican Republic",earthquake,1.18,1.34,0.11,3,reviewed,pr,pr
2021-02-03T07:23:52.630Z,17.9598,-66.8036,14,2.53,md,12,192,0.2141,0.11,pr,pr2021034004,2021-02-03T07:46:07.730Z,"4 km SSE of Indios, Puerto Rico",earthquake,0.55,0.46,0.16,7,reviewed,pr,pr
2021-02-03T07:02:02.390Z,17.384,-68.145,48,3.4,md,17,276,1.1544,0.43,pr,pr2021034002,2021-02-03T07:47:21.040Z,"120 km SSE of Boca de Yuma, Dominican Republic",earthquake,3.1,10.86,0.19,13,reviewed,pr,pr
2021-02-03T06:47:06.282Z,38.7592,141.77,66.76,4.2,mb,,182,2.099,0.47,us,us6000de45,2021-02-03T07:08:58.040Z,"34 km S of Ōfunato, Japan",earthquake,9.6,9.8,0.159,11,reviewed,us,us
2021-02-03T05:23:44.293Z,-36.1899,-97.6645,10,6.7,mww,,70,13.422,1.07,us,us6000de34,2021-02-04T05:28:33.747Z,"West Chile Rise",earthquake,10.2,1.8,0.048,41,reviewed,us,us
2021-02-03T05:12:40.420Z,37.8644981,-122.2423325,10.06,2.65,md,72,43,0.01043,0.05,nc,nc73517801,2021-02-05T02:34:22.735Z,"3km ESE of Berkeley, CA",earthquake,0.13,0.24,0.13,72,automatic,nc,nc
2021-02-03T04:34:52.320Z,17.9531,-66.986,5,2.59,md,23,202,0.0605,0.17,pr,pr2021034000,2021-02-03T04:57:06.584Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.41,0.28,0.32,21,reviewed,pr,pr
2021-02-03T04:20:35.985Z,51.3064,100.3056,10,4.4,mb,,68,2.12,0.7,us,us6000de2w,2021-02-03T04:47:29.040Z,"Russia-Mongolia border region",earthquake,8.3,1.9,0.111,23,reviewed,us,us
2021-02-03T03:20:41.716Z,39.2308,-114.9197,1,2.5,ml,,49,1.324,0.57,us,us6000de2r,2021-02-03T05:00:28.613Z,"3 km SW of Ely, Nevada",earthquake,3.6,2.6,0.039,88,reviewed,us,us
2021-02-03T02:27:39.880Z,36.35833333,-97.3615,7.92,2.93,ml,79,34,0,0.22,ok,ok2021cimm,2021-02-03T18:46:25.635Z,"10 km NW of Perry, Oklahoma",earthquake,,0.6,0.21,33,reviewed,ok,ok
2021-02-03T01:44:33.507Z,-22.8165,171.8414,10,4.9,mb,,105,15.196,1.01,us,us6000de2l,2021-02-03T02:47:21.040Z,"southeast of the Loyalty Islands",earthquake,14.4,1.9,0.099,32,reviewed,us,us
2021-02-03T01:38:56.444Z,-20.4132,-177.8065,531.23,4.5,mb,,86,6.079,1.04,us,us6000de2c,2021-02-03T01:56:58.040Z,"282 km WNW of Haveluloto, Tonga",earthquake,11.4,8.2,0.053,103,reviewed,us,us
2021-02-03T00:51:36.182Z,-22.663,171.9487,10,5.3,mb,,77,15.327,0.88,us,us6000de1w,2021-02-03T01:09:39.040Z,"southeast of the Loyalty Islands",earthquake,5.8,1.9,0.06,93,reviewed,us,us
2021-02-03T00:49:45.054Z,-22.8924,171.8894,10,5,mb,,64,15.113,0.58,us,us6000de1p,2021-02-03T02:34:55.040Z,"southeast of the Loyalty Islands",earthquake,13.8,1.8,0.075,58,reviewed,us,us
2021-02-03T00:42:17.579Z,-22.5457,172.1,10,5.6,mww,,98,15.417,1.04,us,us6000de1j,2021-02-04T00:45:18.564Z,"southeast of the Loyalty Islands",earthquake,6.1,1.8,0.098,10,reviewed,us,us
2021-02-03T00:39:13.247Z,60.1012,-140.7042,0,2.8,ml,,,,0.74,ak,ak0211k8i6qf,2021-02-03T00:50:54.144Z,"82 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-02-03T00:05:33.735Z,-22.7098,171.9202,10,5.2,mb,,70,15.286,0.87,us,us6000de1c,2021-02-03T00:30:45.040Z,"southeast of the Loyalty Islands",earthquake,13.8,1.9,0.049,135,reviewed,us,us
2021-02-02T23:58:34.295Z,-22.5632,172.1006,10,5.7,mww,,51,15.399,1.21,us,us6000de19,2021-02-04T00:01:34.146Z,"southeast of the Loyalty Islands",earthquake,11.5,1.9,0.093,11,reviewed,us,us
2021-02-02T23:50:42.139Z,-22.6639,171.88,10,4.9,mb,,72,15.338,0.98,us,us6000de13,2021-02-03T00:19:52.040Z,"southeast of the Loyalty Islands",earthquake,14.3,1.8,0.09,39,reviewed,us,us
2021-02-02T22:57:55.306Z,-15.3013,-75.9016,10,4.4,mb,,177,3.418,0.86,us,us6000de0t,2021-02-02T23:15:05.040Z,"79 km W of San Juan, Peru",earthquake,5.3,2,0.17,10,reviewed,us,us
2021-02-02T21:54:28.220Z,17.1538,-67.5893,7,3.35,md,15,268,0.9783,0.23,pr,pr2021033014,2021-02-02T22:37:59.913Z,"100 km SSW of Pole Ojea, Puerto Rico",earthquake,3.43,3.34,0.12,6,reviewed,pr,pr
2021-02-02T20:49:27.581Z,-16.286,177.9523,10,5.7,mww,,35,4.269,0.74,us,us6000ddzk,2021-02-03T21:37:58.336Z,"141 km NNE of Ba, Fiji",earthquake,7.2,1.7,0.071,19,reviewed,us,us
2021-02-02T19:42:08.892Z,63.4425,-145.099,6.6,3.1,ml,,,,0.91,ak,ak0211iwapjj,2021-02-02T21:51:33.040Z,"31 km SW of Dry Creek, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-02-02T17:54:47.488Z,58.5374,-156.0033,185.4,2.5,ml,,,,0.81,ak,ak0211iv6idp,2021-02-02T19:32:50.040Z,"41 km ESE of King Salmon, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-02-02T17:46:05.510Z,17.9428,-66.8826,8,2.59,md,16,196,0.0325,0.14,pr,pr2021033013,2021-02-02T18:34:38.224Z,"3 km S of Maria Antonia, Puerto Rico",earthquake,0.57,0.39,0.06,7,reviewed,pr,pr
2021-02-02T17:34:10.540Z,35.9651,75.9777,64.06,4,mb,,99,3.209,1.05,us,us6000ddyb,2021-02-02T18:36:10.040Z,"80 km NNE of Skardu, Pakistan",earthquake,8.3,9.2,0.122,20,reviewed,us,us
2021-02-02T16:58:25.100Z,40.3815,-124.4866667,15.53,2.47,md,16,265,0.1441,0.11,nc,nc73519710,2021-02-04T10:06:05.482Z,"18km WNW of Petrolia, CA",earthquake,0.55,0.48,0.12,23,reviewed,nc,nc
2021-02-02T16:14:12.251Z,28.8023,84.0028,21.06,4.6,mb,,126,2.613,0.58,us,us6000ddxt,2021-02-03T11:07:16.793Z,"51 km NE of Chitre, Nepal",earthquake,9.6,5.2,0.084,42,reviewed,us,us
2021-02-02T14:45:00.673Z,4.1114,126.4019,39.51,4.7,mb,,117,3.05,0.71,us,us6000ddx3,2021-02-02T15:35:01.040Z,"176 km SE of Sarangani, Philippines",earthquake,6.4,8.6,0.099,31,reviewed,us,us
2021-02-02T14:37:40.622Z,4.0055,126.5352,53.99,5,mb,,97,3.189,0.77,us,us6000ddwl,2021-02-02T15:14:51.040Z,"195 km SE of Sarangani, Philippines",earthquake,4.1,6.2,0.071,63,reviewed,us,us
2021-02-02T13:35:13.472Z,54.5803,-160.0232,9.54,2.5,ml,,242,0.355,0.84,us,us6000ddy2,2021-02-02T17:11:14.040Z,"89 km SSE of Sand Point, Alaska",earthquake,3.6,9.7,0.148,6,reviewed,us,us
2021-02-02T13:33:33.930Z,19.1718,-67.3018,68,3.38,md,10,294,0.7296,0.55,pr,pr2021033012,2021-02-02T14:19:37.040Z,"78 km NNW of San Antonio, Puerto Rico",earthquake,4.44,9.5,0.11,5,reviewed,pr,pr
2021-02-02T13:28:35.290Z,19.1451,-67.1625,7,3.83,md,23,215,0.6795,0.59,pr,pr2021033011,2021-02-02T14:21:33.040Z,"72 km N of San Antonio, Puerto Rico",earthquake,2.45,2.6,0.1,12,reviewed,pr,pr
2021-02-02T10:35:26.522Z,38.195,-117.7433,9.81,2.8,ml,,60,0.121,0.74,us,us6000ddve,2021-02-03T03:05:34.658Z,"38 km SE of Mina, Nevada",earthquake,1.7,6.5,0.042,74,reviewed,us,us
2021-02-02T10:17:36.190Z,17.9355,-66.9771,11,2.52,md,15,225,0.0752,0.26,pr,pr2021033008,2021-02-02T10:28:36.675Z,"8 km WSW of Guánica, Puerto Rico",earthquake,0.81,0.59,0.32,7,reviewed,pr,pr
2021-02-02T10:15:03.060Z,18.6451,-66.886,96,3.03,md,4,284,0.3263,0.1,pr,pr2021033009,2021-02-02T10:43:34.490Z,"18 km NNW of Camuy, Puerto Rico",earthquake,2.31,1.48,0.07,3,reviewed,pr,pr
2021-02-02T08:05:16.094Z,-16.3014,-172.7035,28,4.9,mb,,70,2.539,1.28,us,us6000ddut,2021-02-02T08:24:31.040Z,"123 km ESE of Hihifo, Tonga",earthquake,4.5,6.3,0.093,36,reviewed,us,us
2021-02-02T08:00:29.410Z,17.945,-66.8563,10,2.49,md,10,199,0.0378,0.09,pr,pr2021033007,2021-02-02T08:40:14.500Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.45,0.52,0.13,5,reviewed,pr,pr
2021-02-02T06:44:14.610Z,36.4436,70.8687,122.88,4.3,mb,,75,2.413,0.53,us,us6000ddu6,2021-02-02T08:58:32.040Z,"46 km S of Jurm, Afghanistan",earthquake,6,6.2,0.097,30,reviewed,us,us
2021-02-02T06:10:58.085Z,40.8534,-125.4074,10,2.8,ml,,242,1.046,0.4,us,us6000ddtj,2021-02-02T10:11:36.040Z,"100 km W of Indianola, California",earthquake,4.5,2,0.044,67,reviewed,us,us
2021-02-02T05:46:05.590Z,17.9703,-66.811,11,2.51,md,19,180,0.0684,0.12,pr,pr2021033005,2021-02-02T06:54:28.655Z,"2 km SSE of Indios, Puerto Rico",earthquake,0.46,0.36,0.14,7,reviewed,pr,pr
2021-02-02T05:43:57.710Z,19.1796666666667,-155.4585,36.31,2.67,md,57,118,,0.11,hv,hv72338172,2021-02-02T22:43:10.980Z,"3 km SE of Pāhala, Hawaii",earthquake,0.43,0.55,0.153875632570032,27,reviewed,hv,hv
2021-02-02T04:38:25.380Z,44.4153333,-115.2173333,9.7,2.59,ml,14,83,0.272,0.19,mb,mb80485899,2021-02-03T04:42:34.346Z,"31 km NW of Stanley, Idaho",earthquake,0.45,0.74,0.172,14,reviewed,mb,mb
2021-02-02T04:35:59.497Z,2.2047,128.3277,83.94,4.8,mb,,79,1.717,0.51,us,us6000ddt4,2021-02-03T00:49:41.040Z,"63 km NE of Tobelo, Indonesia",earthquake,9.2,6,0.094,35,reviewed,us,us
2021-02-02T03:45:50.935Z,36.6811,71.0249,254.9,4.3,mb,,70,2.677,0.74,us,us6000ddsy,2021-02-02T22:10:58.040Z,"26 km SE of Jurm, Afghanistan",earthquake,7,6.9,0.142,15,reviewed,us,us
2021-02-02T03:17:28.326Z,14.6428,-92.3298,77.2,4.3,mb,,173,0.625,0.66,us,us6000ddsw,2021-02-03T00:39:09.619Z,"8 km S of Tinajas 1ra. Sección, Mexico",earthquake,5.1,6.2,0.05,116,reviewed,us,us
2021-02-02T03:03:23.564Z,31.6581,-104.5426,7.86,3.1,ml,,78,0.037,0.64,us,us6000ddsu,2021-02-02T22:46:11.040Z,"59 km SSW of Whites City, New Mexico",earthquake,1.2,1.6,0.041,78,reviewed,us,us
2021-02-02T02:52:43.027Z,37.1814,71.7821,146.43,4.1,mb,,60,2.298,0.68,us,us6000ddst,2021-02-03T00:25:02.040Z,"39 km SSE of Khorugh, Tajikistan",earthquake,6.7,7,0.127,17,reviewed,us,us
2021-02-02T02:41:52.530Z,19.0531,-66.4718,25,2.77,md,4,326,0.7607,0.34,pr,pr2021033003,2021-02-02T04:30:51.138Z,"65 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.96,24.47,0.01,2,reviewed,pr,pr
2021-02-02T02:31:14.090Z,28.8429,87.3919,9.98,5,mww,,64,3.373,0.57,us,us6000ddsr,2021-02-03T00:18:32.758Z,"113 km NNE of Lobujya, Nepal",earthquake,8.2,3.9,0.083,14,reviewed,us,us
2021-02-02T02:21:28.574Z,40.3667,-125.7339,10,2.9,ml,,266,1.233,0.9,us,us6000ddsm,2021-02-02T22:37:19.762Z,"126 km W of Ferndale, California",earthquake,3,2,0.057,41,reviewed,us,us
2021-02-02T02:05:59.644Z,56.3332,-152.4719,10,2.9,ml,,220,0.977,0.63,us,us6000ddsk,2021-02-02T22:32:18.040Z,"109 km SSE of Old Harbor, Alaska",earthquake,5.1,2,0.056,42,reviewed,us,us
2021-02-02T01:06:02.428Z,-21.425,34.869,10,4.2,mb,,116,8.556,0.84,us,us6000ddse,2021-02-02T22:52:28.040Z,"175 km S of Beira, Mozambique",earthquake,10.3,2,0.175,9,reviewed,us,us
2021-02-02T00:25:19.050Z,18.7146,-67.294,13,2.94,md,19,209,0.3074,0.24,pr,pr2021033000,2021-02-02T00:49:40.391Z,"32 km NW of San Antonio, Puerto Rico",earthquake,0.68,0.58,0.13,14,reviewed,pr,pr
2021-02-02T00:13:09.840Z,19.3523333333333,-155.079666666667,6.26,4.05,ml,60,161,,0.11,hv,hv72337977,2021-02-06T17:11:19.572Z,"13 km SSE of Fern Forest, Hawaii",earthquake,0.33,0.25,0.115324724734002,38,reviewed,hv,hv
2021-02-02T00:02:45.243Z,39.1024,36.1006,10,4.5,mwr,,26,0.318,0.78,us,us6000dds6,2021-02-02T13:55:27.273Z,"9 km SSE of Gemerek, Turkey",earthquake,3.7,1.9,0.069,20,reviewed,us,us
2021-02-01T23:51:53.658Z,-21.452,34.8996,10,4.4,mb,,116,8.577,0.27,us,us6000dds5,2021-02-02T06:17:05.040Z,"178 km S of Beira, Mozambique",earthquake,11.1,2,0.269,4,reviewed,us,us
2021-02-01T21:17:58.970Z,17.9591,-66.7853,12,3.24,md,24,184,0.0952,0.23,pr,pr2021032012,2021-02-01T22:17:10.409Z,"5 km SE of Indios, Puerto Rico",earthquake,0.58,0.42,0.16,19,reviewed,pr,pr
2021-02-01T19:49:10.560Z,36.28016667,-97.50066667,7.46,2.83,ml,101,27,0,0.19,ok,ok2021cgdv,2021-02-02T08:00:46.723Z,"4 km W of Lucien, Oklahoma",earthquake,,0.4,0.24,36,reviewed,ok,ok
2021-02-01T18:53:20.740Z,18.9336,-66.3018,34,2.9,md,14,260,0.6616,0.26,pr,pr2021032011,2021-02-01T19:25:00.489Z,"51 km N of Brenas, Puerto Rico",earthquake,1.28,6.09,0.15,9,reviewed,pr,pr
2021-02-01T18:32:57.327Z,-4.6542,132.7183,10,4.8,mb,,118,1.786,1.3,us,us6000ddqn,2021-02-01T18:55:29.040Z,"107 km N of Tual, Indonesia",earthquake,5,1.9,0.109,26,reviewed,us,us
2021-02-01T17:29:16.698Z,12.7679,-88.3242,52.37,4.2,mb,,139,1.273,0.62,us,us6000ddqe,2021-02-01T17:43:14.040Z,"53 km SSW of Chirilagua, El Salvador",earthquake,3.4,12.8,0.152,12,reviewed,us,us
2021-02-01T17:14:48.749Z,4.9921,127.5221,113.52,4.6,mb,,116,2.827,0.77,us,us6000ddqb,2021-02-01T17:33:55.040Z,"212 km SE of Pondaguitan, Philippines",earthquake,3.8,7.7,0.079,47,reviewed,us,us
2021-02-01T16:55:28.961Z,-20.178,32.9603,10,4.3,mb,,212,6.664,0.61,us,us6000ddq7,2021-02-01T17:21:35.040Z,"35 km E of Chipinge, Zimbabwe",earthquake,8,2,0.375,2,reviewed,us,us
2021-02-01T15:27:29.456Z,31.6679,-104.4023,5,3.5,ml,,61,0.084,0.34,us,us6000ddnc,2021-02-02T15:29:51.961Z,"56 km S of Whites City, New Mexico",earthquake,0.8,1.7,0.071,26,reviewed,us,us
2021-02-01T14:55:27.020Z,17.968,-67.0041,9,2.62,md,16,195,0.0401,0.22,pr,pr2021032010,2021-02-01T15:42:24.040Z,"4 km E of La Parguera, Puerto Rico",earthquake,0.58,1,0.25,7,reviewed,pr,pr
2021-02-01T14:42:19.710Z,19.484,-155.439,3.46,2.53,ml,55,82,,0.13,hv,hv72337497,2021-02-02T18:00:25.040Z,"22 km WNW of Volcano, Hawaii",earthquake,0.26,0.65,0.214210038766935,12,reviewed,hv,hv
2021-02-01T13:45:57.106Z,-19.6469,-66.9865,269.48,4.2,mb,,99,2.08,0.32,us,us6000ddmw,2021-02-01T14:33:14.040Z,"72 km N of Colchani, Bolivia",earthquake,13.2,19.4,0.304,3,reviewed,us,us
2021-02-01T13:24:09.500Z,19.4386666666667,-154.880333333333,6.04,2.47,ml,39,225,,0.13,hv,hv72337442,2021-02-02T00:25:23.113Z,"5 km SE of Leilani Estates, Hawaii",earthquake,0.76,0.46,0.244831794709332,6,reviewed,hv,hv
2021-02-01T13:10:15.938Z,38.9688,26.0434,9.41,4.9,mb,,32,0.679,0.47,us,us6000ddmm,2021-02-01T21:21:15.166Z,"17 km SW of Polichnítos, Greece",earthquake,4.3,2,0.07,65,reviewed,us,us
2021-02-01T11:13:35.147Z,-24.359,-67.2954,184.71,4.8,mb,,87,1.617,1.16,us,us6000ddm4,2021-02-01T11:32:02.040Z,"100 km W of San Antonio de los Cobres, Argentina",earthquake,6.8,11.3,0.176,10,reviewed,us,us
2021-02-01T09:48:48.770Z,17.92,-66.9831,8,2.71,md,13,235,0.0786,0.21,pr,pr2021032008,2021-02-01T10:07:06.145Z,"9 km SE of La Parguera, Puerto Rico",earthquake,0.86,1.68,0.2,4,reviewed,pr,pr
2021-02-01T08:35:18.026Z,39.0511,26.1067,7.16,5.2,mww,,45,0.622,0.5,us,us6000ddle,2021-02-01T22:50:02.040Z,"7 km WSW of Polichnítos, Greece",earthquake,5.1,1.6,0.069,20,reviewed,us,us
